Country,FoodexL1,Mean
Austria,Fruit and fruit products,192
Belgium,Fruit and fruit products,156
Germany,Fruit and fruit products,205
Denmark,Fruit and fruit products,200
France,Fruit and fruit products,147
United Kingdom,Fruit and fruit products,113
Italy,Fruit and fruit products,204
Netherlands,Fruit and fruit products,134
Sweden,Fruit and fruit products,138
Austria,Carbohydrates,337
Belgium,Carbohydrates,355
Germany,Carbohydrates,324
Denmark,Carbohydrates,303
France,Carbohydrates,296
United Kingdom,Carbohydrates,292
Italy,Carbohydrates,326
Netherlands,Carbohydrates,370
Sweden,Carbohydrates,312